,Unnamed: 0.1,AdvNewspaper,AdvCirc,NatlLineRate,SpotColour,ProcessColour,Columns,Lines,MaterialCode,Year,AuditYear,AuditDiff,SplitIssue,AdvCircAllEds,NatlLineRateAllEds,SpotColourAllEds,ProcessColourAllEds,MarketAndNewspaper,_merge1,Removable,ADVCSD,ADVOwner,EDITION,Unnamed: 0,FreeCirculation,Format,Market,Newspaper,Owner,PaidCirculation,Prov,TotalCirculation,Lowner,Address,"Population and dwelling counts / Population, 2016","Population and dwelling counts / Population, 2011","Population and dwelling counts / Population percentage change, 2011 to 2016",Population and dwelling counts / Total private dwellings,Population and dwelling counts / Private dwellings occupied by usual residents,Population and dwelling counts / Population density per square kilometre,Population and dwelling counts / Land area in square kilometres,Age & Sex / Both sexes / Average age of the population ; Both sexes,"Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / No certificate, diploma or degree","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Secondary (high) school diploma or equivalency certificate","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate or diploma below bachelor level","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate, diploma or degree at bachelor level or above",Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data / Median total income in 2015 among recipients ($),Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data,Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data / Non-immigrants,Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data / Immigrants,GPS,StdName2,StdOwner2,double,StdMarket2,RemovableSlash,Swap2017,MarketChange1,Daily,SwapNotInclude,Swap2017Affected,CSDs,first_year,equal_to_previous,FreeCircAllEds,PaidCircAllEds,TotalCircAllEds,EDITION2,_merge2,ID,ID2,EverPaidEDITION,EverFreeEDITION,EverPaid,EverFree,OpCross2017ID,OpCross2017ID2,FreeCirc_Cross17_ID2,PaidCirc_Cross17_ID2,Rate_Cross17_ID2,TotalCirc_Cross17_ID2,OpPost2017,CDs
0,0,,,,,,,,,2013,,,,,,,,Barrie Examiner,,,[nan],,,0.0,0.0,,Barrie,Examiner,postmedia network inc.,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1,['Barrie'],2013.0,0.0,0.0,0.0,0.0,,right_only,1,1,0,0,0,0,0,0,0,0,0,0,0,['Simcoe']
1,1,,,,,,,,,2014,,,,,,,,Barrie Examiner,,,[nan],,,3.0,0.0,,Barrie,Examiner,postmedia network inc.,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1,['Barrie'],2014.0,0.0,0.0,0.0,0.0,,right_only,1,1,0,0,0,0,0,0,0,0,0,0,0,['Simcoe']
2,2,,,,,,,,,2015,,,,,,,,Barrie Examiner,,,[nan],,,6.0,0.0,,Barrie,Examiner,postmedia network inc.,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1,['Barrie'],2015.0,0.0,0.0,0.0,0.0,,right_only,1,1,0,0,0,0,0,0,0,0,0,0,0,['Simcoe']
3,3,,,,,,,,,2016,,,,,,,,Barrie Examiner,,,[nan],,,9.0,0.0,,Barrie,Examiner,postmedia network inc.,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1,['Barrie'],2016.0,0.0,0.0,0.0,0.0,,right_only,1,1,0,0,0,0,0,0,0,0,0,0,0,['Simcoe']
4,4,,,,,,,,,2017,,,,,,,,Barrie Examiner,,,[nan],,,12.0,0.0,,Barrie,Examiner,postmedia network inc.,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1,['Barrie'],2017.0,0.0,0.0,0.0,0.0,,right_only,1,1,0,0,0,0,0,0,0,0,0,0,0,['Simcoe']
5,5,,,,,,,,,2013,,,,,,,,Innisfil Examiner,,,[nan],,,1.0,0.0,,Innisfil,Examiner,postmedia network inc.,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,1.0,1,['Innisfil'],2013.0,0.0,0.0,0.0,0.0,,right_only,2,2,0,0,0,0,0,0,0,0,0,0,0,['Simcoe']
6,6,,,,,,,,,2014,,,,,,,,Innisfil Examiner,,,[nan],,,4.0,0.0,,Innisfil,Examiner,postmedia network inc.,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,1.0,1,['Innisfil'],2014.0,0.0,0.0,0.0,0.0,,right_only,2,2,0,0,0,0,0,0,0,0,0,0,0,['Simcoe']
7,7,,,,,,,,,2015,,,,,,,,Innisfil Examiner,,,[nan],,,7.0,0.0,,Innisfil,Examiner,postmedia network inc.,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,1.0,1,['Innisfil'],2015.0,0.0,0.0,0.0,0.0,,right_only,2,2,0,0,0,0,0,0,0,0,0,0,0,['Simcoe']
8,8,,,,,,,,,2016,,,,,,,,Innisfil Examiner,,,[nan],,,10.0,0.0,,Innisfil,Examiner,postmedia network inc.,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,1.0,1,['Innisfil'],2016.0,0.0,0.0,0.0,0.0,,right_only,2,2,0,0,0,0,0,0,0,0,0,0,0,['Simcoe']
9,9,,,,,,,,,2017,,,,,,,,Innisfil Examiner,,,[nan],,,13.0,0.0,,Innisfil,Examiner,postmedia network inc.,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,1.0,1,['Innisfil'],2017.0,0.0,0.0,0.0,0.0,,right_only,2,2,0,0,0,0,0,0,0,0,0,0,0,['Simcoe']
10,10,,,,,,,,,2013,,,,,,,,Niagara Falls Review,,,[nan],,,22.0,0.0,,Niagara Falls,Review,postmedia network inc.,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1,['Pelham'],2013.0,0.0,0.0,0.0,0.0,,right_only,3,3,0,0,0,0,1,1,0,0,0,0,1,['Niagara']
11,11,,,,,,,,,2014,,,,,,,,Niagara Falls Review,,,[nan],,,23.0,0.0,,Niagara Falls,Review,postmedia network inc.,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1,['Pelham'],2013.0,0.0,0.0,0.0,0.0,,right_only,3,3,0,0,0,0,1,1,0,0,0,0,1,['Niagara']
